0,1,2,3,4
0.14511494252873564,0.3793103448275862,58,101,22
0.10218253968253968,0.25,84,103,21
0.13797814207650272,0.36065573770491804,61,101,22
0.0876736111111111,0.21875,96,101,21
0.04187396351575456,0.10945273631840796,201,101,22
0.03358681875792142,0.09505703422053231,263,106,25
0.012072198781059541,0.03656821378340366,711,103,26
0.010640539401601349,0.03286978508217446,791,101,26
0.004588839941262849,0.016519823788546256,1816,100,30
0.003084179970972424,0.011248185776487663,2756,102,31
0.0021055239038890263,0.0069358434481050285,4037,102,28
0.11467889908256881,0.26605504587155965,109,100,29
0.09421641791044776,0.23134328358208955,134,101,31
0.05701754385964912,0.14473684210526316,228,104,33
0.05514705882352941,0.12184873949579832,238,105,29
0.031097560975609756,0.07560975609756097,410,102,31
0.021326013513513514,0.0472972972972973,592,101,28
0.015566625155666251,0.039850560398505604,803,100,32
0.013020833333333334,0.03229166666666667,960,100,31
0.004858993902439024,0.011051829268292682,2624,102,29
0.002513067953357459,0.006433453960595094,4974,100,32
0.0011612021857923497,0.0029143897996357013,10980,102,32
0.0681198910081744,0.11444141689373297,367,100,42
0.04599271402550091,0.08925318761384335,549,101,49
0.044642857142857144,0.08035714285714286,560,100,45
0.029036004645760744,0.0545876887340302,861,100,47
0.022039757994814176,0.04062229904926534,1157,102,47
0.018601190476190476,0.033482142857142856,1344,100,45
0.010390689941812137,0.018703241895261846,2406,100,45
0.005283178360101437,0.008664412510566356,4732,100,41
0.0033539039441910384,0.006171183257311511,7454,100,46
0.0015540374199901525,0.0026464795667159036,16248,101,43
0.0007053248603045908,0.0013421715788320368,36508,103,49
